"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)"
"12285",9," Vágóhíd utca 3",36,1,NA,160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,"9",NA
"12286",2," II",140,3,NA,3e+05,"renovated","high",NA,NA,3,NA,"less than 3",NA,"Partially",35000,"immediately","6 hónap","garden","Yes","Yes",NA,NA,"street","1981-2000 ","20",NA
"12287",4," Farkaserdo utca",38,1,NA,1e+05,"good","high",NA,9,10,"Yes","less than 3","No","By arrangement",25000,"immediately","6 hónap","panorama",NA,"Yes","No","No","street","1981-2000 ","2",NA
"12288",7," Marek József utca",36,2,NA,1e+05,"renovated",NA,NA,3,3,"No",NA,NA,"Yes",20000,"immediately","nincs","street",NA,"Yes","No","No",NA,NA,NA,NA
"12289",12," Nagyenyed utca",59,2,1,150000,"good","high",NA,2,4,"Yes",NA,"Yes","Partially",20000,"immediately",NA,"street","No","Yes","Yes",NA,"street",NA,NA,NA
"12290",2," Bimbó út",30,1,1,150000,"renovated","high",NA,NA,3,NA,NA,NA,"Yes",NA,NA,"1 év","garden","Yes","Yes",NA,NA,"street",NA,"4",NA
"12291",6," Andrássy út 7.",89,3,1,380000,"renovated",NA,NA,3,NA,"Yes",NA,"No","No",50000,"immediately","1 év","street",NA,"Yes",NA,NA,NA,NA,NA,NA
"12292",6," Eötvös utca",33,1,NA,1e+05,"good",NA,NA,2,3,"No",NA,"No","Yes",18000,"immediately","1 év","yard","No","Yes","Yes","Yes","street",NA,NA,NA
"12293",11," Ibrahim utca 3.",30,1,NA,125000,"good",NA,NA,1,3,NA,"3 or more",NA,"Yes",NA,"not immediately","1 év","garden",NA,NA,"No","No","street","1950-1980 ","2",NA
"12294",7," Dembinszky utca 45.",30,1,NA,95000,"good","high",NA,1,4,"No","3 or more","No","Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"12295",8," József utca",60,3,NA,150000,"new","high","AA+",1,6,NA,"less than 3",NA,"Yes",35000,"immediately","1 év","street",NA,NA,"No","No",NA,"2018",NA,NA
"12296",6," Andrássy út",103,3,NA,758940,"like new","very high",NA,1,4,"Yes","3 or more","Yes","Yes",NA,"immediately","1 év","street","No","Yes",NA,"No","street","1950 elott",NA,NA
"12297",14," Zászlós utca 6.",32,1,NA,90000,"good",NA,NA,2,4,"No","3 or more",NA,"Yes",NA,"immediately","1 év","street",NA,"Yes",NA,"No","street","1950 elott",NA,NA
"12298",6," Mozsár utca",92,3,NA,219000,"good","luxury",NA,3,3,"Yes","3 or more","No","Yes",24000,"immediately","1 év","street","No","Yes","Yes","No","street","1950 elott","4",NA
"12299",13," Bessenyei utca 16.",55,2,1,175000,"like new","high",NA,6,9,"Yes","less than 3","Yes","Yes",35000,"immediately","6 hónap","garden","No","Yes","No","No","street","2001-2010 ","8",NA
"12300",7," Garay utca 13-15",50,1,1,220000,"new","high","AA+",3,6,"Yes","less than 3","Yes","Yes",NA,"immediately","1 év","street","No","Yes","No","No",NA,"2018","2",NA
"12301",5," Balaton utca",59,2,NA,220000,"renovated","high",NA,7,7,"Yes","3 or more","No","Yes",42200,"immediately","1 év","street","No","Yes","No","No","street","2016","14",NA
"12302",22," Pannónia utca",25,1,NA,1e+05,"good","high",NA,NA,NA,"No","3 or more","No","Yes",NA,"immediately","1 év",NA,"Yes","Yes","Yes",NA,"street","1950 elott",NA,NA
"12303",6," Bajcsy-Zsilinszky út",86,3,NA,430000,"renovated",NA,NA,6,6,"Yes",NA,"Yes","Yes",NA,"immediately","4 hónap",NA,NA,"Yes",NA,NA,NA,"1950 elott","3",NA
"12304",9," Vágóhíd utca 23-29",42,1,1,110000,"fair","average",NA,2,3,"No","less than 3","No","No",NA,"immediately","1 év","street",NA,NA,NA,NA,"included","1950-1980 ","2",NA
"12305",6," Zichy Jeno utca",200,4,NA,450000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,"4",NA
"12306",21," Merkúr utca",35,1,NA,105000,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12307",22," Naprét utca 14.",18,1,1,60000,"like new","high",NA,NA,NA,"No","less than 3","Yes","Yes",12000,"immediately","1 év","panorama","No","Yes","No","No","can rent","2001-2010 ","5",5000
"12308",13," Lehel utca",50,2,NA,170000,"like new","high",NA,4,8,"Yes","less than 3","Yes","Yes",40000,"immediately","1 év","garden",NA,"Yes","No","No","street","2011","6",NA
"12309",2," Retek utca",70,3,NA,220000,"renovated","high",NA,3,7,"Yes","less than 3","No","No",35000,"not immediately","6 hónap","street","No","No","No","No","included","1981-2000 ","5",NA
"12310",2," Erod utca",120,3,NA,560000,"renovated","very high","AA+",4,4,"Yes",NA,"Yes","Yes",45000,"immediately","1 év","yard","No",NA,NA,"No","street","2014","6",NA
"12311",6," Király utca",42,2,NA,220000,"new","high",NA,4,7,"Yes","less than 3","Yes","Yes",NA,"immediately","1 év","garden","No","Yes","No","No",NA,"2019","6",NA
"12312",2," Utas utca",137,4,NA,795080,"renovated","very high",NA,NA,2,"No","less than 3","Yes","By arrangement",NA,"immediately","1 év","panorama","No","Yes",NA,NA,"included","1981-2000 ","80",NA
"12313",7," Murányi utca",34,1,1,120000,"renovated",NA,NA,NA,NA,NA,"3 or more",NA,"Yes",NA,"immediately","1 év","yard",NA,"Yes","No","No","street",NA,NA,NA
"12314",6," Podmaniczky utca",115,5,NA,480000,"like new","luxury",NA,NA,5,NA,"3 or more","Yes","No",33000,"immediately","1 év",NA,"No","Yes",NA,NA,"street",NA,NA,NA
"12315",2," Törökvész",135,4,NA,722800,"renovated","very high",NA,1,NA,NA,NA,"Yes","Yes",NA,"immediately","1 év","panorama",NA,"Yes","Yes",NA,"included",NA,"50",NA
"12316",5," Veres Pálné utca",105,3,NA,349000,"renovated","very high",NA,NA,5,"Yes","3 or more","Yes","Yes",69000,"immediately","3 hónap","street",NA,"Yes","No","No","street","1950 elott",NA,NA
"12317",1," Attila út",52,1,NA,170000,"renovated",NA,NA,2,5,"Yes","3 or more","Yes","Yes",NA,"immediately","6 hónap","street",NA,"Yes","No","No",NA,"1950 elott",NA,NA
"12318",21," Orion utca",48,1,1,120000,"renovated","high","AA",2,3,"No","less than 3","No","No",30000,"not immediately","1 év","panorama","No","Yes","No","No","street","1950-1980 ","2",NA
"12319",14," Hermina út",42,2,NA,135000,"renovated","high",NA,1,3,"No",NA,"No","By arrangement",NA,NA,"6 hónap","garden",NA,"Yes","No",NA,"can rent","1950-1980 ","4",15000
"12320",7," Holló utca",46,2,NA,126490,"like new",NA,NA,1,4,"Yes","less than 3",NA,"Yes",40000,"immediately","1 év","street",NA,"Yes",NA,NA,NA,"2001-2010 ",NA,NA
"12321",7," Wesselényi utca 4.",59,2,NA,220000,"renovated","luxury",NA,3,4,"Yes","3 or more","Yes","Yes",25000,"immediately","1 év","yard","No","Yes","No","No","street","1950 elott",NA,NA
"12322",8," Corvin sétány",48,1,1,160000,"new","high",NA,2,NA,"Yes",NA,"Yes","Yes",50000,"immediately","1 év","yard","No","Yes","No",NA,"can rent","2018","15",25000
"12323",12," Virányos",130,4,NA,614380,NA,"very high",NA,2,3,"No",NA,"No","By arrangement",NA,"immediately","1 év",NA,NA,NA,NA,NA,"included",NA,NA,NA
"12324",6," Bajnok utca 31.",30,1,NA,1e+05,NA,NA,NA,1,NA,"No","3 or more","Yes","Yes",NA,"immediately","nincs",NA,NA,"Yes","No","No",NA,NA,NA,NA
"12325",3," Rómaifürdo",140,4,NA,5e+05,"like new","very high",NA,NA,2,NA,NA,"Yes","Yes",50000,NA,"1 év","yard",NA,"Yes",NA,NA,"street","1981-2000 ",NA,NA
"12326",1," Gellérthegy utca",41,2,NA,289120,"like new","luxury","AA++",1,NA,"Yes",NA,"Yes","Yes",NA,NA,"1 év","street",NA,"Yes",NA,NA,"can rent",NA,NA,NA
